Aleatorio,Diseño,Esfera,Aprendizaje,Valor,Sentido,Reactivo
0.587,41,Familia,Modelos,Honestidad,Positivo,A mis hijos les demuestro con el ejemplo que deben ser buenas personas.
0.270,86,Amigos/Vecinos,Reglas,Apoyo,Negativo,A veces es mejor evitar entrometerse en los asuntos de los vecinos.
0.531,2,Personal,Experiencia,Honestidad,Negativo,Algunas veces decir mentiras me ha evitado problemas.
0.293,24,Personal,Reglas,Responsabilidad,Negativo,Algunas veces es bueno evitar responsabilidades.
0.887,78,Amigos/Vecinos,Modelos,Progreso,Negativo,Algunas veces mis amigos se dan por vencidos.
0.612,32,Familia,Experiencia,Honestidad,Negativo,Algunas veces mis hijos dicen mentiras.
0.465,62,Amigos/Vecinos,Experiencia,Honestidad,Negativo,Algunas veces un vecino hace cosas malas.
0.963,84,Amigos/Vecinos,Reglas,Responsabilidad,Negativo,Algunos amigos pueden esperar más tiempo para que yo les pueda pagar.
0.443,64,Amigos/Vecinos,Experiencia,Responsabilidad,Negativo,Algunos de mis amigos son irresponsables.
0.005,5,Personal,Experiencia,Apoyo,Positivo,Ayudar a otros me hace sentir bien.
0.353,65,Amigos/Vecinos,Experiencia,Apoyo,Positivo,Ayudo a mis vecinos cuando lo necesitan.
0.925,35,Familia,Experiencia,Apoyo,Positivo,Ayudo en las labores de mi casa.
0.987,28,Personal,Reglas,Progreso,Negativo,Debo ser agradecido con lo poco que tengo.
0.259,76,Amigos/Vecinos,Modelos,Apoyo,Negativo,En ciertas ocasiones mis vecinos son egoístas.
0.841,30,Personal,Reglas,Organización,Negativo,En ocasiones las cosas salen diferente de la manera en la que las planeamos.
0.635,74,Amigos/Vecinos,Modelos,Responsabilidad,Negativo,En ocasiones mis vecinos son perezosos.
0.813,22,Personal,Reglas,Honestidad,Negativo,En ocasiones mostrar bondad puede ser señal de debilidad.
0.950,59,Familia,Reglas,Organización,Positivo,Enseño a mis hijos la importancia de administrar el dinero
0.727,83,Amigos/Vecinos,Reglas,Responsabilidad,Positivo,Es importante pagar el dinero que le debo a mis vecinos.
0.216,36,Familia,Experiencia,Apoyo,Negativo,Es mejor evitar que los hijos sean arriesgados.
0.809,26,Personal,Reglas,Apoyo,Negativo,Es mejor hacer las cosas uno mismo si quiere que salgan bien.
0.658,56,Familia,Reglas,Apoyo,Negativo,Es preferible que los hijos aprendan a hacer las cosas solos.
0.010,8,Personal,Experiencia,Progreso,Negativo,Está bien darse por vencido en algunas ocasiones.
0.142,61,Amigos/Vecinos,Experiencia,Honestidad,Positivo,Hago cosas buenas por mis amigos.
0.405,13,Personal,Modelos,Responsabilidad,Positivo,Hay personas que quieren ser tan responsables como yo lo soy.
0.176,40,Familia,Experiencia,Organización,Negativo,He organizado reuniones familiares que han sido malas experiencias.
0.167,42,Familia,Modelos,Honestidad,Negativo,He visto a mis padres decir mentiras para evitar problemas.
0.175,44,Familia,Modelos,Responsabilidad,Negativo,He visto cómo mis padres se han atrasado en sus pagos por comprar alimentos.
0.599,72,Amigos/Vecinos,Modelos,Honestidad,Negativo,He visto que algunos de mis amigos dicen mentiras.
0.542,48,Familia,Modelos,Progreso,Negativo,He visto que en mi familia han tenido problemas difíciles de superar.
0.670,50,Familia,Modelos,Organización,Negativo,He visto que mi pareja hace las cosas bien con poca organización.
0.255,12,Personal,Modelos,Honestidad,Negativo,La gente dice que los puedo hacer cambiar de opinión con facilidad.
0.690,16,Personal,Modelos,Apoyo,Negativo,La gente dice que soy una persona solitaria.
0.783,14,Personal,Modelos,Responsabilidad,Negativo,La gente dice que trabajo demasiado.
0.250,19,Personal,Modelos,Organización,Positivo,La gente me pide que le ayude a organizar sus planes.
0.323,68,Amigos/Vecinos,Experiencia,Progreso,Negativo,La pereza de mis vecinos me ha traído problemas.
0.058,17,Personal,Modelos,Progreso,Positivo,Las demás personas dicen que soy un ejemplo de superación.
0.940,20,Personal,Modelos,Organización,Negativo,Las personas dicen que soy bueno improvisando.
0.784,18,Personal,Modelos,Progreso,Negativo,Las personas han visto que en ocasiones me he dado por vencido.
0.395,53,Familia,Reglas,Responsabilidad,Positivo,Le digo a mi familia que deben ser personas trabajadoras.
0.637,15,Personal,Modelos,Apoyo,Positivo,Le muestro a los demás cómo se debe ayudar a la gente.
0.262,39,Familia,Experiencia,Organización,Positivo,Manejo el dinero de la casa con mi pareja.
0.970,71,Amigos/Vecinos,Modelos,Honestidad,Positivo,Me doy cuenta que mis vecinos son bondadosos.
0.793,1,Personal,Experiencia,Honestidad,Positivo,Me gusta decir la verdad.
0.249,7,Personal,Experiencia,Progreso,Positivo,Me gusta ganar mucho dinero.
0.498,9,Personal,Experiencia,Organización,Positivo,Me gusta tener mis cosas organizadas.
0.151,70,Amigos/Vecinos,Experiencia,Organización,Negativo,Me ha afectado la desorganización de mis vecinos.
0.105,10,Personal,Experiencia,Organización,Negativo,Me he divertido haciendo cosas improvisadas.
0.055,3,Personal,Experiencia,Responsabilidad,Positivo,Me siento bien cuando actúo de manera responsable.
0.833,38,Familia,Experiencia,Progreso,Negativo,Me siento mejor pasando tiempo con mi familia que trabajando.
0.742,55,Familia,Reglas,Apoyo,Positivo,Mi familia me dice que debo ser una persona colaboradora.
0.332,37,Familia,Experiencia,Progreso,Positivo,Mi familia me ha ayudado a progresar.
0.784,57,Familia,Reglas,Progreso,Positivo,Mi familia quiere que yo progrese.
0.331,58,Familia,Reglas,Progreso,Negativo,Mi pareja dice que es mejor evitar negocios riesgosos.
0.721,45,Familia,Modelos,Apoyo,Positivo,Mi pareja es un gran apoyo.
0.660,31,Familia,Experiencia,Honestidad,Positivo,Mi pareja es una persona honesta.
0.204,43,Familia,Modelos,Responsabilidad,Positivo,Mi pareja me ayuda para pagar mis deudas.
0.727,51,Familia,Reglas,Honestidad,Positivo,Mi pareja me dice que sea una buena persona.
0.556,34,Familia,Experiencia,Responsabilidad,Negativo,Mi pareja me ha ayudado con mis gastos para que yo pueda descansar.
0.494,47,Familia,Modelos,Progreso,Positivo,Mi pareja me ha enseñado a tener éxito.
0.602,89,Amigos/Vecinos,Reglas,Organización,Positivo,Mis amigos dicen que un plan bien hecho lleva al éxito de los proyectos.
0.020,75,Amigos/Vecinos,Modelos,Apoyo,Positivo,Mis amigos me apoyan en mis proyectos.
0.763,69,Amigos/Vecinos,Experiencia,Organización,Positivo,Mis amigos me ayudan a administrar mi dinero.
0.708,87,Amigos/Vecinos,Reglas,Progreso,Positivo,Mis amigos me dicen que debo buscar ser mejor.
0.618,67,Amigos/Vecinos,Experiencia,Progreso,Positivo,Mis amigos me han hecho progresar.
0.598,52,Familia,Reglas,Honestidad,Negativo,Mis padres decían que algunas personas te engañan.
0.001,60,Familia,Reglas,Organización,Negativo,Mis padres decían que hay que aprovechar cuando se puede.
0.524,54,Familia,Reglas,Responsabilidad,Negativo,Mis padres me decían que es bueno descansar.
0.877,82,Amigos/Vecinos,Reglas,Honestidad,Negativo,Mis vecinos dicen que el fin justifica los medios.
0.567,88,Amigos/Vecinos,Reglas,Progreso,Negativo,"Mis vecinos piensan que es mejor asegurar poco, que arriesgar mucho."
0.252,90,Amigos/Vecinos,Reglas,Organización,Negativo,Mis vecinos piensan que es molesto tener todo planeado.
0.105,79,Amigos/Vecinos,Modelos,Organización,Positivo,Mis vecinos son personas organizadas.
0.303,73,Amigos/Vecinos,Modelos,Responsabilidad,Positivo,Mis vecinos son personas trabajadoras.
0.541,77,Amigos/Vecinos,Modelos,Progreso,Positivo,Mis vecinos son un modelo de progreso.
0.164,63,Amigos/Vecinos,Experiencia,Responsabilidad,Positivo,Pago las deudas que tengo con mis amigos.
0.723,33,Familia,Experiencia,Responsabilidad,Positivo,Pago los servicios públicos del lugar donde vivo.
0.860,29,Personal,Reglas,Organización,Positivo,Para mí es valioso ser una persona ordenada.
0.399,85,Amigos/Vecinos,Reglas,Apoyo,Positivo,Para mis amigos es importante ayudar.
0.084,81,Amigos/Vecinos,Reglas,Honestidad,Positivo,Para mis amigos la verdad es valiosa.
0.305,23,Personal,Reglas,Responsabilidad,Positivo,Pienso que es importante actuar con responsabilidad.
0.742,46,Familia,Modelos,Apoyo,Negativo,Prefiero dejar que mi pareja haga las cosas sin mi ayuda.
0.415,6,Personal,Experiencia,Apoyo,Negativo,Prefiero hacer las cosas solo.
0.636,25,Personal,Reglas,Apoyo,Positivo,Prefiero hacer un plan antes de comenzar un proyecto.
0.294,4,Personal,Experiencia,Responsabilidad,Negativo,Siento que podría descansar haciendo menos trabajo.
0.715,21,Personal,Reglas,Honestidad,Positivo,Soy una persona honesta.
0.744,11,Personal,Modelos,Honestidad,Positivo,Soy una persona que demuestra decir la verdad.
0.994,80,Amigos/Vecinos,Modelos,Organización,Negativo,Tengo algunos amigos que son desordenados.
0.983,66,Amigos/Vecinos,Experiencia,Apoyo,Negativo,Un amigo dejó de ayudarme cuando lo necesitaba.
0.379,49,Familia,Modelos,Organización,Positivo,Veo que mis padres son personas organizadas.
0.423,27,Personal,Reglas,Progreso,Positivo,Voy a tener éxito.